variant,N,cutoff,P,rep,seconds,checksum,expected
sucuri,3000000,512,23,4,0.2626657336950302,3299331579,3299331579
sucuri,3000000,512,23,5,0.26566118374466896,3299331579,3299331579
sucuri,3000000,512,23,6,0.2501777336001396,3299331579,3299331579
sucuri,3000000,512,23,7,0.24833077937364578,3299331579,3299331579
ribault_c,3000000,512,24,1,0.113968700,3299331579,3299331579
ribault_c,3000000,512,24,2,0.105128338,3299331579,3299331579
ribault_c,3000000,512,24,3,0.100623880,3299331579,3299331579
ribault_c,3000000,512,24,4,0.103053564,3299331579,3299331579
ribault_c,3000000,512,24,5,0.104462541,3299331579,3299331579
ribault_c,3000000,512,24,6,0.102455860,3299331579,3299331579
ribault_c,3000000,512,24,7,0.100389026,3299331579,3299331579
ribault_rust,3000000,512,24,1,0.090061653,3299331579,3299331579
ribault_rust,3000000,512,24,2,0.089000421,3299331579,3299331579
ribault_rust,3000000,512,24,3,0.095048387,3299331579,3299331579
ribault_rust,3000000,512,24,4,0.088477721,3299331579,3299331579
ribault_rust,3000000,512,24,5,0.095239443,3299331579,3299331579
ribault_rust,3000000,512,24,6,0.095535130,3299331579,3299331579
ribault_rust,3000000,512,24,7,0.097666264,3299331579,3299331579
ribault_hs,3000000,512,24,1,0.127551932,3299331579,3299331579
ribault_hs,3000000,512,24,2,0.123861331,3299331579,3299331579
ribault_hs,3000000,512,24,3,0.121520576,3299331579,3299331579
ribault_hs,3000000,512,24,4,0.121183980,3299331579,3299331579
ribault_hs,3000000,512,24,5,0.129133860,3299331579,3299331579
ribault_hs,3000000,512,24,6,0.132076007,3299331579,3299331579
ribault_hs,3000000,512,24,7,0.124480319,3299331579,3299331579
strategies,3000000,512,24,1,0.217556312,3299331579,3299331579
strategies,3000000,512,24,2,0.258836094,3299331579,3299331579
strategies,3000000,512,24,3,0.246508678,3299331579,3299331579
strategies,3000000,512,24,4,0.180980748,3299331579,3299331579
strategies,3000000,512,24,5,0.256609203,3299331579,3299331579
strategies,3000000,512,24,6,0.269048877,3299331579,3299331579
strategies,3000000,512,24,7,0.268644254,3299331579,3299331579
parpseq,3000000,512,24,1,0.610581533,3299331579,3299331579
parpseq,3000000,512,24,2,0.372870797,3299331579,3299331579
parpseq,3000000,512,24,3,0.60959543,3299331579,3299331579
